Address,Data
0x0302B018,0x1fe61feb
0x0302B01C,0x1fdb1fe1
0x0302B020,0x1fd11fd6
0x0302B024,0x1fc61fcc
0x0302B028,0x1fbc1fc1
0x0302B02C,0x1fb11fb7
0x0302B030,0x1fa71fac
0x0302B034,0x1f9c1fa2
0x0302B038,0x1f921f97
0x0302B03C,0x1f871f8d
0x0302B040,0x1f7d1f82
0x0302B044,0x1f721f78
0x0302B048,0x1f681f6d
0x0302B04C,0x1f5d1f63
0x0302B050,0x00001f58
0x0302B054,0x1ffd0000
0x0302B058,0x1ff81ffb
0x0302B05C,0x1ff31ff5
0x0302B060,0x1fed1ff0
0x0302B064,0x1fe81feb
0x0302B068,0x1fe31fe5
0x0302B06C,0x1fdd1fe0
0x0302B070,0x1fd81fdb
0x0302B074,0x1fd31fd6
0x0302B078,0x1fce1fd0
0x0302B07C,0x1fc81fcb
0x0302B080,0x1fc31fc6
0x0302B084,0x1fbe1fc0
0x0302B088,0x1fb81fbb
0x0302B08C,0x1fb31fb6
0x0302B090,0x1fae1fb0
0x0302B094,0x00001fab
0x0302B098,0x00000000
0x0302B09C,0x00000000
0x0302B0A0,0x00000000
0x0302B0A4,0x00000000
0x0302B0A8,0x00000000
0x0302B0AC,0x00000000
0x0302B0B0,0x00000000
0x0302B0B4,0x00000000
0x0302B0B8,0x00000000
0x0302B0BC,0x00000000
0x0302B0C0,0x00000000
0x0302B0C4,0x00010001
0x0302B0C8,0x00010001
0x0302B0CC,0x00010001
0x0302B0D0,0x00010001
0x0302B0D4,0x00010001
0x0302B0D8,0x00000001
0x0302B0DC,0x00030000
0x0302B0E0,0x00080006
0x0302B0E4,0x000e000b
0x0302B0E8,0x00140011
0x0302B0EC,0x00190016
0x0302B0F0,0x001f001c
0x0302B0F4,0x00240022
0x0302B0F8,0x002a0027
0x0302B0FC,0x0030002d
0x0302B100,0x00350032
0x0302B104,0x003b0038
0x0302B108,0x0040003d
0x0302B10C,0x00460043
0x0302B110,0x004b0049
0x0302B114,0x0051004e
0x0302B118,0x00570054
0x0302B11C,0x00000059
0x0302B120,0x00060000
0x0302B124,0x0011000b
0x0302B128,0x001c0017
0x0302B12C,0x00280022
0x0302B130,0x0033002d
0x0302B134,0x003e0039
0x0302B138,0x004a0044
0x0302B13C,0x0055004f
0x0302B140,0x0060005b
0x0302B144,0x006c0066
0x0302B148,0x00770071
0x0302B14C,0x0082007d
0x0302B150,0x008e0088
0x0302B154,0x00990093
0x0302B158,0x00a4009f
0x0302B15C,0x00b000aa
0x0302B160,0x000000b5
0x0302B164,0x00090000
0x0302B168,0x001a0011
0x0302B16C,0x002b0023
0x0302B170,0x003c0034
0x0302B174,0x004e0045
0x0302B178,0x005f0056
0x0302B17C,0x00700068
0x0302B180,0x00820079
0x0302B184,0x0093008a
0x0302B188,0x00a4009b
0x0302B18C,0x00b500ad
0x0302B190,0x00c700be
0x0302B194,0x00d800cf
0x0302B198,0x00e900e1
0x0302B19C,0x00fa00f2
0x0302B1A0,0x010c0103
0x0302B1A4,0x00000114
0x0302B1A8,0x000c0000
0x0302B1AC,0x00230017
0x0302B1B0,0x003b002f
0x0302B1B4,0x00520046
0x0302B1B8,0x0069005e
0x0302B1BC,0x00810075
0x0302B1C0,0x0098008d
0x0302B1C4,0x00b000a4
0x0302B1C8,0x00c700bc
0x0302B1CC,0x00df00d3
0x0302B1D0,0x00f600ea
0x0302B1D4,0x010e0102
0x0302B1D8,0x01250119
0x0302B1DC,0x013c0131
0x0302B1E0,0x01540148
0x0302B1E4,0x016b0160
0x0302B1E8,0x00000177
0x0302B1EC,0x000f0000
0x0302B1F0,0x002d001e
0x0302B1F4,0x004b003c
0x0302B1F8,0x0068005a
0x0302B1FC,0x00860077
0x0302B200,0x00a40095
0x0302B204,0x00c200b3
0x0302B208,0x00e000d1
0x0302B20C,0x00fe00ef
0x0302B210,0x011c010d
0x0302B214,0x0139012a
0x0302B218,0x01570148
0x0302B21C,0x01750166
0x0302B220,0x01930184
0x0302B224,0x01b101a2
0x0302B228,0x01cf01c0
0x0302B22C,0x000001de
0x0302B230,0x00120000
0x0302B234,0x00370025
0x0302B238,0x005b0049
0x0302B23C,0x0080006e
0x0302B240,0x00a40092
0x0302B244,0x00c900b7
0x0302B248,0x00ed00db
0x0302B24C,0x01120100
0x0302B250,0x01360124
0x0302B254,0x015b0149
0x0302B258,0x017f016d
0x0302B25C,0x01a40192
0x0302B260,0x01c801b6
0x0302B264,0x01ed01db
0x0302B268,0x021101ff
0x0302B26C,0x02360224
0x0302B270,0x00000248
0x0302B274,0x00160000
0x0302B278,0x0041002b
0x0302B27C,0x006d0057
0x0302B280,0x00980082
0x0302B284,0x00c300ae
0x0302B288,0x00ef00d9
0x0302B28C,0x011a0105
0x0302B290,0x01460130
0x0302B294,0x0171015b
0x0302B298,0x019d0187
0x0302B29C,0x01c801b2
0x0302B2A0,0x01f301de
0x0302B2A4,0x021f0209
0x0302B2A8,0x024a0235
