Address,Data
0x0302B014,0x1FF01FF6
0x0302B018,0x1FE61FEB
0x0302B01C,0x1FDB1FE1
0x0302B020,0x1FD11FD6
0x0302B024,0x1FC61FCC
0x0302B028,0x1FBC1FC1
0x0302B02C,0x1FB11FB7
0x0302B030,0x1FA71FAC
0x0302B034,0x1F9C1FA2
0x0302B038,0x1F921F97
0x0302B03C,0x1F871F8D
0x0302B040,0x1F7D1F82
0x0302B044,0x1F721F78
0x0302B048,0x1F681F6D
0x0302B04C,0x1F5D1F63
0x0302B050,0x00001F58
0x0302B054,0x1FFD0000
0x0302B058,0x1FF81FFB
0x0302B05C,0x1FF31FF5
0x0302B060,0x1FED1FF0
0x0302B064,0x1FE81FEB
0x0302B068,0x1FE31FE5
0x0302B06C,0x1FDD1FE0
0x0302B070,0x1FD81FDB
0x0302B074,0x1FD31FD6
0x0302B078,0x1FCE1FD0
0x0302B07C,0x1FC81FCB
0x0302B080,0x1FC31FC6
0x0302B084,0x1FBE1FC0
0x0302B088,0x1FB81FBB
0x0302B08C,0x1FB31FB6
0x0302B090,0x1FAE1FB0
0x0302B094,0x00001FAB
0x0302B098,0x00000000
0x0302B09C,0x00000000
0x0302B0A0,0x00000000
0x0302B0A4,0x00000000
0x0302B0A8,0x00000000
0x0302B0AC,0x00000000
0x0302B0B0,0x00000000
0x0302B0B4,0x00000000
0x0302B0B8,0x00000000
0x0302B0BC,0x00000000
0x0302B0C0,0x00000000
0x0302B0C4,0x00010001
0x0302B0C8,0x00010001
0x0302B0CC,0x00010001
0x0302B0D0,0x00010001
0x0302B0D4,0x00010001
0x0302B0D8,0x00000001
0x0302B0DC,0x00030000
0x0302B0E0,0x00080006
0x0302B0E4,0x000E000B
0x0302B0E8,0x00140011
0x0302B0EC,0x00190016
0x0302B0F0,0x001F001C
0x0302B0F4,0x00240022
0x0302B0F8,0x002A0027
0x0302B0FC,0x0030002D
0x0302B100,0x00350032
0x0302B104,0x003B0038
0x0302B108,0x0040003D
0x0302B10C,0x00460043
0x0302B110,0x004B0049
0x0302B114,0x0051004E
0x0302B118,0x00570054
0x0302B11C,0x00000059
0x0302B120,0x00060000
0x0302B124,0x0011000B
0x0302B128,0x001C0017
0x0302B12C,0x00280022
0x0302B130,0x0033002D
0x0302B134,0x003E0039
0x0302B138,0x004A0044
0x0302B13C,0x0055004F
0x0302B140,0x0060005B
0x0302B144,0x006C0066
0x0302B148,0x00770071
0x0302B14C,0x0082007D
0x0302B150,0x008E0088
0x0302B154,0x00990093
0x0302B158,0x00A4009F
0x0302B15C,0x00B000AA
0x0302B160,0x000000B5
0x0302B164,0x00090000
0x0302B168,0x001A0011
0x0302B16C,0x002B0023
0x0302B170,0x003C0034
0x0302B174,0x004E0045
0x0302B178,0x005F0056
0x0302B17C,0x00700068
0x0302B180,0x00820079
0x0302B184,0x0093008A
0x0302B188,0x00A4009B
0x0302B18C,0x00B500AD
0x0302B190,0x00C700BE
0x0302B194,0x00D800CF
0x0302B198,0x00E900E1
0x0302B19C,0x00FA00F2
0x0302B1A0,0x010C0103
0x0302B1A4,0x00000114
0x0302B1A8,0x000C0000
0x0302B1AC,0x00230017
0x0302B1B0,0x003B002F
0x0302B1B4,0x00520046
0x0302B1B8,0x0069005E
0x0302B1BC,0x00810075
0x0302B1C0,0x0098008D
0x0302B1C4,0x00B000A4
0x0302B1C8,0x00C700BC
0x0302B1CC,0x00DF00D3
0x0302B1D0,0x00F600EA
0x0302B1D4,0x010E0102
0x0302B1D8,0x01250119
0x0302B1DC,0x013C0131
0x0302B1E0,0x01540148
0x0302B1E4,0x016B0160
0x0302B1E8,0x00000177
0x0302B1EC,0x000F0000
0x0302B1F0,0x002D001E
0x0302B1F4,0x004B003C
0x0302B1F8,0x0068005A
0x0302B1FC,0x00860077
0x0302B200,0x00A40095
0x0302B204,0x00C200B3
0x0302B208,0x00E000D1
0x0302B20C,0x00FE00EF
0x0302B210,0x011C010D
0x0302B214,0x0139012A
0x0302B218,0x01570148
0x0302B21C,0x01750166
0x0302B220,0x01930184
0x0302B224,0x01B101A2
0x0302B228,0x01CF01C0
0x0302B22C,0x000001DE
0x0302B230,0x00120000
0x0302B234,0x00370025
0x0302B238,0x005B0049
0x0302B23C,0x0080006E
0x0302B240,0x00A40092
0x0302B244,0x00C900B7
0x0302B248,0x00ED00DB
0x0302B24C,0x01120100
0x0302B250,0x01360124
0x0302B254,0x015B0149
